date,interestrate
2004-01-1,4.26
2004-02-1,4.08
2004-03-1,3.93
2004-04-1,3.91
2004-05-1,3.90
2004-06-1,3.91
2004-07-1,3.91
2004-08-1,3.70
2004-09-1,3.52
2004-10-1,3.52
2004-11-1,3.42
2004-12-1,3.39
2005-01-1,3.47
2005-02-1,3.59
2005-03-1,3.55
2005-04-1,3.52
2005-05-1,3.51
2005-06-1,3.51
2005-07-1,3.51
2005-08-1,3.50
2005-09-1,3.70
2005-10-1,3.93
2005-11-1,3.96
2005-12-1,4.04
2006-01-1,4.15
2006-02-1,4.25
2006-03-1,4.27
2006-04-1,4.33
2006-05-1,4.36
2006-06-1,4.47
2006-07-1,4.63
2006-08-1,4.68
2006-09-1,4.64
2006-10-1,4.57
2006-11-1,4.60
2006-12-1,4.76
2007-01-1,4.92
2007-02-1,4.95
2007-03-1,4.94
2007-04-1,4.95
2007-05-1,5.04
2007-06-1,5.03
2007-07-1,5.05
2007-08-1,5.21
2007-09-1,5.34
2007-10-1,5.34
2007-11-1,5.43
2007-12-1,5.73
2008-01-1,5.81
2008-02-1,5.28
2008-03-1,5.25
2008-04-1,5.38
2008-05-1,5.36
2008-06-1,5.36
2008-07-1,5.52
2008-08-1,5.77
2008-09-1,5.79
2008-10-1,6.03
2008-11-1,5.62
2008-12-1,4.68
2009-01-1,3.22
2009-02-1,2.70
2009-03-1,2.45
2009-04-1,2.42
2009-05-1,2.41
2009-06-1,2.41
2009-07-1,2.41
2009-08-1,2.48
2009-09-1,2.64
2009-10-1,2.79
2009-11-1,2.79
2009-12-1,2.82
2010-01-1,2.88
2010-02-1,2.88
2010-03-1,2.83
2010-04-1,2.51
2010-05-1,2.45
2010-06-1,2.45
2010-07-1,2.58
2010-08-1,2.63
2010-09-1,2.66
2010-10-1,2.66
2010-11-1,2.73
2010-12-1,2.80
2011-01-1,2.93
2011-02-1,3.13
2011-03-1,3.35
2011-04-1,3.40
2011-05-1,3.46
2011-06-1,3.53
2011-07-1,3.59
2011-08-1,3.59
2011-09-1,3.58
2011-10-1,3.58
2011-11-1,3.56
2011-12-1,3.55
2012-01-1,3.55
2012-02-1,3.53
2012-03-1,3.54
2012-04-1,3.54
2012-05-1,3.54
2012-06-1,3.54
2012-07-1,3.34
2012-08-1,3.19
2012-09-1,3.14
2012-10-1,2.93
2012-11-1,2.85
2012-12-1,2.88
2013-01-1,2.86
2013-02-1,2.83
2013-03-1,2.81
2013-04-1,2.80
2013-05-1,2.72
2013-06-1,2.69
2013-07-1,2.68
2013-08-1,2.66
2013-09-1,2.66
2013-10-1,2.66
2013-11-1,2.65
2013-12-1,2.65
2014-01-1,2.65
2014-02-1,2.65
2014-03-1,2.65
2014-04-1,2.65
2014-05-1,2.65
2014-06-1,2.65
2014-07-1,2.65
2014-08-1,2.52
2014-09-1,2.35
2014-10-1,2.21
2014-11-1,2.14
2014-12-1,2.13
2015-01-1,2.13
2015-02-1,2.12
2015-03-1,1.95
2015-04-1,1.81
2015-05-1,1.80
2015-06-1,1.70
2015-07-1,1.65
2015-08-1,1.64
2015-09-1,1.60
2015-10-1,1.58
2015-11-1,1.59
2015-12-1,1.67
2016-01-1,1.67
2016-02-1,1.64
2016-03-1,1.63
2016-04-1,1.61
2016-05-1,1.58
2016-06-1,1.43
2016-07-1,1.36
2016-08-1,1.35
2016-09-1,1.34
2016-10-1,1.35
2016-11-1,1.42
2016-12-1,1.54
2017-01-1,1.50
2017-02-1,1.49
2017-03-1,1.48
2017-04-1,1.43
2017-05-1,1.39
2017-06-1,1.38
2017-07-1,1.39
2017-08-1,1.39
2017-09-1,1.38
2017-10-1,1.38
2017-11-1,1.45
2017-12-1,1.66
2018-01-1,1.66
2018-02-1,1.65
2018-03-1,1.65
2018-04-1,1.65
2018-05-1,1.65
2018-06-1,1.65
2018-07-1,1.65
2018-08-1,1.65
2018-09-1,1.65
2018-10-1,1.68
2018-11-1,1.71
2018-12-1,1.91
2019-01-1,1.87
2019-02-1,1.87
2019-03-1,1.90
2019-04-1,1.86
2019-05-1,1.84
2019-06-1,1.80
2019-07-1,1.68
2019-08-1,1.49
2019-09-1,1.54
2019-10-1,1.46
2019-11-1,1.52
2019-12-1,1.53
2020-01-1,1.47
2020-02-1,1.42
2020-03-1,1.23
2020-04-1,1.10
2020-05-1,1.02
2020-06-1,0.79
2020-07-1,0.79
2020-08-1,0.68
2020-09-1,0.63
2020-10-1,0.63
2020-11-1,0.66
2020-12-1,0.66
2021-01-1,0.68
2021-02-1,0.73
