date,price
2004-01-1,66.0
2004-02-1,65.8
2004-03-1,65.5
2004-04-1,65.6
2004-05-1,65.6
2004-06-1,65.8
2004-07-1,65.6
2004-08-1,65.4
2004-09-1,65.6
2004-10-1,65.8
2004-11-1,65.9
2004-12-1,65.9
2005-01-1,66.1
2005-02-1,66.1
2005-03-1,66.3
2005-04-1,66.8
2005-05-1,67.8
2005-06-1,68.1
2005-07-1,68.9
2005-08-1,68.9
2005-09-1,69.4
2005-10-1,69.4
2005-11-1,69.4
2005-12-1,69.4
2006-01-1,69.4
2006-02-1,69.5
2006-03-1,69.6
2006-04-1,69.3
2006-05-1,69.2
2006-06-1,69.1
2006-07-1,69.0
2006-08-1,68.9
2006-09-1,68.8
2006-10-1,68.6
2006-11-1,68.6
2006-12-1,68.9
2007-01-1,69.1
2007-02-1,69.1
2007-03-1,69.2
2007-04-1,69.2
2007-05-1,69.1
2007-06-1,69.1
2007-07-1,68.8
2007-08-1,68.9
2007-09-1,69.2
2007-10-1,69.1
2007-11-1,69.1
2007-12-1,69.1
2008-01-1,69.1
2008-02-1,69.1
2008-03-1,69.1
2008-04-1,69.3
2008-05-1,69.5
2008-06-1,70.0
2008-07-1,70.1
2008-08-1,70.4
2008-09-1,70.4
2008-10-1,70.3
2008-11-1,70.3
2008-12-1,70.0
2009-01-1,69.8
2009-02-1,70.2
2009-03-1,70.2
2009-04-1,70.6
2009-05-1,70.6
2009-06-1,70.8
2009-07-1,70.8
2009-08-1,71.0
2009-09-1,71.2
2009-10-1,71.7
2009-11-1,71.9
2009-12-1,71.9
2010-01-1,71.9
2010-02-1,72.4
2010-03-1,73.4
2010-04-1,73.7
2010-05-1,74.3
2010-06-1,75.6
2010-07-1,76.8
2010-08-1,77.1
2010-09-1,77.6
2010-10-1,78.0
2010-11-1,79.2
2010-12-1,80.0
2011-01-1,81.0
2011-02-1,82.5
2011-03-1,85.4
2011-04-1,91.2
2011-05-1,91.0
2011-06-1,92.5
2011-07-1,92.9
2011-08-1,94.1
2011-09-1,96.0
2011-10-1,97.0
2011-11-1,97.7
2011-12-1,98.0
2012-01-1,97.8
2012-02-1,97.9
2012-03-1,97.9
2012-04-1,97.8
2012-05-1,98.5
2012-06-1,98.6
2012-07-1,98.3
2012-08-1,97.9
2012-09-1,98.0
2012-10-1,97.8
2012-11-1,97.5
2012-12-1,97.2
2013-01-1,97.0
2013-02-1,96.8
2013-03-1,96.8
2013-04-1,97.8
2013-05-1,98.4
2013-06-1,98.6
2013-07-1,98.8
2013-08-1,98.8
2013-09-1,98.9
2013-10-1,99.2
2013-11-1,99.9
2013-12-1,99.8
2014-01-1,99.9
2014-02-1,100.2
2014-03-1,100.5
2014-04-1,100.7
2014-05-1,101.0
2014-06-1,101.3
2014-07-1,101.9
2014-08-1,102.6
2014-09-1,102.9
2014-10-1,103.1
2014-11-1,103.4
2014-12-1,103.7
2015-01-1,103.7
2015-02-1,103.9
2015-03-1,104.4
2015-04-1,104.8
2015-05-1,104.9
2015-06-1,105.2
2015-07-1,105.5
2015-08-1,105.6
2015-09-1,105.8
2015-10-1,105.9
2015-11-1,106.0
2015-12-1,106.0
2016-01-1,106.0
2016-02-1,105.9
2016-03-1,105.9
2016-04-1,105.6
2016-05-1,105.3
2016-06-1,105.2
2016-07-1,105.0
2016-08-1,104.8
2016-09-1,104.6
2016-10-1,104.6
2016-11-1,104.5
2016-12-1,104.5
2017-01-1,104.4
2017-02-1,104.4
2017-03-1,104.3
2017-04-1,104.1
2017-05-1,103.9
2017-06-1,103.8
2017-07-1,103.5
2017-08-1,102.5
2017-09-1,101.4
2017-10-1,100.7
2017-11-1,100.0
2017-12-1,99.5
2018-01-1,98.9
2018-02-1,98.5
2018-03-1,98.2
2018-04-1,97.9
2018-05-1,97.1
2018-06-1,96.6
2018-07-1,95.7
2018-08-1,94.9
2018-09-1,94.2
2018-10-1,93.5
2018-11-1,92.9
2018-12-1,91.9
2019-01-1,91.6
2019-02-1,91.3
2019-03-1,91.0
2019-04-1,90.8
2019-05-1,90.4
2019-06-1,90.3
2019-07-1,89.6
2019-08-1,89.1
2019-09-1,88.6
2019-10-1,88.4
2019-11-1,88.5
2019-12-1,89.1
2020-01-1,89.6
2020-02-1,90.0
2020-03-1,90.4
2020-04-1,90.3
2020-05-1,90.1
2020-06-1,90.7
2020-07-1,92.5
2020-08-1,93.3
2020-09-1,93.7
2020-10-1,93.9
2020-11-1,95.9
2020-12-1,100.1
