date space
2001-04-1 3,700,326
2001-05-1 4,193,973
2001-06-1 5,028,773.4
2001-07-1 4,218,651
2001-08-1 4,094,590
2001-09-1 4,521,052
2001-10-1 4,771,865
2001-11-1 5,414,523
2001-12-1 5,446,441
2002-01-1 3,788,023
2002-02-1 3,466,368
2002-03-1 6,329,311
2002-04-1 5,315,253
2002-05-1 5,213,790
2002-06-1 4,155,528
2002-07-1 3,991,677
2002-08-1 3,786,017
2002-09-1 3,678,247
2002-10-1 5,679,410
2002-11-1 4,101,931
2002-12-1 7,207,611
2003-01-1 4,206,840
2003-02-1 2,642,744
2003-03-1 5,654,214
2003-04-1 3,725,860
2003-05-1 4,124,503
2003-06-1 14,207,138
2003-07-1 6,912,275
2003-08-1 3,199,311
2003-09-1 2,632,144
2003-10-1 4,355,840
2003-11-1 3,779,292
2003-12-1 6,793,028
2004-01-1 1,677,476
2004-02-1 3,153,002
2004-03-1 2,935,350
2004-04-1 2,672,140
2004-05-1 4,860,392
2004-06-1 5,860,223
2004-07-1 3,228,111
2004-08-1 3,622,402
2004-09-1 2,646,662
2004-10-1 4,637,484
2004-11-1 3,793,888
2004-12-1 11,188,490
2005-01-1 4,056,349
2005-02-1 1,921,507
2005-03-1 3,969,131
2005-04-1 4,130,842
2005-05-1 6,252,490
2005-06-1 3,593,426
2005-07-1 3,075,733
2005-08-1 3,641,032
2005-09-1 2,758,213
2005-10-1 3,943,580
2005-11-1 3,726,185
2005-12-1 9,212,339
2006-01-1 4,053,117
2006-02-1 3,431,538
2006-03-1 4,405,924
2006-04-1 3,517,591
2006-05-1 3,462,040
2006-06-1 5,383,972
2006-07-1 7,047,998
2006-08-1 3,498,817
2006-09-1 5,466,604
2006-10-1 2,657,705
2006-11-1 3,638,306
2006-12-1 7,297,171
2007-01-1 2,112,089
2007-02-1 2,437,719
2007-03-1 3,617,298
2007-04-1 2,866,357
2007-05-1 5,095,970
2007-06-1 3,088,407
2007-07-1 4,554,051
2007-08-1 4,970,074
2007-09-1 3,046,844
2007-10-1 16,092,513
2007-11-1 10,865,148
2007-12-1 6,465,833
2008-01-1 2,450,110
2008-02-1 1,564,646
2008-03-1 2,308,361
2008-04-1 4,426,592
2008-05-1 2,764,751
2008-06-1 2,328,210
2008-07-1 3,706,873
2008-08-1 2,765,946
2008-09-1 2,274,792
2008-10-1 2,587,747
2008-11-1 3,469,658
2008-12-1 7,814,324
2009-01-1 904,537
2009-02-1 1,174,718
2009-03-1 1,772,973
2009-04-1 1,806,060
2009-05-1 1,763,833
2009-06-1 3,287,041
2009-07-1 2,303,239
2009-08-1 3,154,749
2009-09-1 4,872,123
2009-10-1 2,400,028
2009-11-1 3,766,780
2009-12-1 14,711,344.1
2010-01-1 1,450,384
2010-02-1 1,758,272
2010-03-1 3,176,281
2010-04-1 3,964,877
2010-05-1 5,002,321
2010-06-1 3,094,576
2010-07-1 2,727,988
2010-08-1 2,097,611
2010-09-1 2,476,765
2010-10-1 2,750,731
2010-11-1 6,687,698
2010-12-1 16,276,236
2011-01-1 3,516,173
2011-02-1 2,368,383
2011-03-1 3,526,572
2011-04-1 5,247,208
2011-05-1 4,133,207
2011-06-1 3,853,649
2011-07-1 4,020,599
2011-08-1 6,326,208
2011-09-1 5,643,380
2011-10-1 5,462,021
2011-11-1 3,654,836
2011-12-1 8,804,754
2012-01-1 3,552,949
2012-02-1 3,401,704
2012-03-1 4,283,486
2012-04-1 4,751,129
2012-05-1 4,961,001
2012-06-1 4,680,642
2012-07-1 4,472,888
2012-08-1 3,963,046
2012-09-1 5,290,110
2012-10-1 4,601,583
2012-11-1 4,104,397
2012-12-1 11,192,992
2013-01-1 2,945,686
2013-02-1 2,404,310
2013-03-1 3,926,408
2013-04-1 3,521,984
2013-05-1 3,685,630
2013-06-1 3,767,757
2013-07-1 4,715,541
2013-08-1 3,621,269
2013-09-1 3,915,858
2013-10-1 3,928,986
2013-11-1 6,972,515
2013-12-1 6,831,807
2014-01-1 2,615,653
2014-02-1 7,070,212
2014-03-1 4,403,977
2014-04-1 5,017,842
2014-05-1 4,995,748
2014-06-1 5,540,901
2014-07-1 5,253,200
2014-08-1 6,067,172
2014-09-1 4,789,876
2014-10-1 5,164,423
2014-11-1 4,076,561
2014-12-1 5,939,491
2015-01-1 3,482,658
2015-02-1 4,388,918
2015-03-1 6,189,392
2015-04-1 6,009,986
2015-05-1 6,392,792
2015-06-1 6,675,859
2015-07-1 12,304,982
2015-08-1 8,276,454
2015-09-1 9,303,357
2015-10-1 7,816,784
2015-11-1 6,514,316
2015-12-1 8,164,539
2016-01-1 5,190,141
2016-02-1 6,008,538
2016-03-1 7,298,340
2016-04-1 7,413,836
2016-05-1 6,155,742
2016-06-1 7,978,843
2016-07-1 7,073,180
2016-08-1 6,241,777
2016-09-1 5,074,992
2016-10-1 6,391,882
2016-11-1 6,705,028
2016-12-1 6,888,164
2017-01-1 4,748,526
2017-02-1 5,527,846
2017-03-1 5,437,407
2017-04-1 4,788,919
2017-05-1 6,892,649
2017-06-1 7,178,232
2017-07-1 5,428,766
2017-08-1 5,198,270
2017-09-1 6,614,051
2017-10-1 6,441,970
2017-11-1 5,155,183
2017-12-1 6,842,949
2018-01-1 4,448,283
2018-02-1 4,833,860
2018-03-1 4,865,006
2018-04-1 5,033,825
2018-05-1 4,290,317
2018-06-1 5,295,291
2018-07-1 6,975,897
2018-08-1 4,244,820
2018-09-1 3,585,511
2018-10-1 3,516,177
2018-11-1 5,187,897
2018-12-1 5,047,837
2019-01-1 3,552,547
2019-02-1 4,593,642
2019-03-1 4,911,563
2019-04-1 3,900,806
2019-05-1 3,126,135
