date,consumer_price_index
2004-01-1,75.067,
2004-02-1,75.402,
2004-03-1,76.136,
2004-04-1,76.003,
2004-05-1,75.870,
2004-06-1,75.870,
2004-07-1,76.136,
2004-08-1,76.939,
2004-09-1,76.806,
2004-10-1,76.672,
2004-11-1,76.136,
2004-12-1,76.271,
2005-01-1,77.250,
2005-02-1,77.562,
2005-03-1,78.109,
2005-04-1,78.187,
2005-05-1,78.031,
2005-06-1,77.719,
2005-07-1,78.109,
2005-08-1,78.265,
2005-09-1,78.734,
2005-10-1,78.656,
2005-11-1,78.187,
2005-12-1,78.578,
2006-01-1,78.968,
2006-02-1,79.046,
2006-03-1,79.437,
2006-04-1,79.437,
2006-05-1,79.671,
2006-06-1,79.515,
2006-07-1,79.828,
2006-08-1,80.374,
2006-09-1,80.452,
2006-10-1,79.984,
2006-11-1,79.437,
2006-12-1,79.984,
2007-01-1,80.218,
2007-02-1,80.530,
2007-03-1,80.999,
2007-04-1,81.233,
2007-05-1,81.312,
2007-06-1,81.389,
2007-07-1,81.624,
2007-08-1,81.702,
2007-09-1,82.248,
2007-10-1,82.405,
2007-11-1,82.327,
2007-12-1,82.640,
2008-01-1,83.030,
2008-02-1,83.655,
2008-03-1,84.514,
2008-04-1,85.060,
2008-05-1,85.764,
2008-06-1,86.623,
2008-07-1,87.092,
2008-08-1,86.935,
2008-09-1,86.779,
2008-10-1,86.701,
2008-11-1,86.310,
2008-12-1,86.154,
2009-01-1,86.310,
2009-02-1,87.092,
2009-03-1,88.028,
2009-04-1,88.263,
2009-05-1,88.185,
2009-06-1,88.107,
2009-07-1,88.497,
2009-08-1,88.732,
2009-09-1,88.810,
2009-10-1,88.653,
2009-11-1,88.810,
2009-12-1,89.201,
2010-01-1,90.026,
2010-02-1,90.208,
2010-03-1,90.573,
2010-04-1,90.847,
2010-05-1,90.938,
2010-06-1,90.756,
2010-07-1,91.121,
2010-08-1,91.577,
2010-09-1,92.033,
2010-10-1,92.215,
2010-11-1,91.850,
2010-12-1,92.215,
2011-01-1,93.218,
2011-02-1,93.857,
2011-03-1,94.404,
2011-04-1,94.495,
2011-05-1,94.587,
2011-06-1,94.769,
2011-07-1,95.316,
2011-08-1,95.955,
2011-09-1,95.864,
2011-10-1,95.772,
2011-11-1,95.955,
2011-12-1,96.228,
2012-01-1,96.219,
2012-02-1,96.557,
2012-03-1,96.748,
2012-04-1,96.785,
2012-05-1,96.967,
2012-06-1,96.748,
2012-07-1,96.356,
2012-08-1,96.776,
2012-09-1,97.551,
2012-10-1,97.414,
2012-11-1,97.058,
2012-12-1,97.131,
2013-01-1,97.752,
2013-02-1,98.135,
2013-03-1,98.080,
2013-04-1,97.834,
2013-05-1,97.797,
2013-06-1,97.743,
2013-07-1,98.034,
2013-08-1,98.427,
2013-09-1,98.655,
2013-10-1,98.308,
2013-11-1,98.262,
2013-12-1,98.390,
2014-01-1,99.156,
2014-02-1,99.339,
2014-03-1,99.485,
2014-04-1,99.539,
2014-05-1,99.658,
2014-06-1,99.503,
2014-07-1,99.685,
2014-08-1,99.822,
2014-09-1,99.722,
2014-10-1,99.339,
2014-11-1,99.129,
2014-12-1,99.047,
2015-01-1,99.94,
2015-02-1,99.87,
2015-03-1,99.89,
2015-04-1,99.80,
2015-05-1,100.01,
2015-06-1,100.07,
2015-07-1,100.07,
2015-08-1,100.32,
2015-09-1,100.05,
2015-10-1,100.00,
2015-11-1,99.90,
2015-12-1,100.09,
2016-01-1,100.34,
2016-02-1,100.84,
2016-03-1,100.64,
2016-04-1,100.77,
2016-05-1,100.82,
2016-06-1,100.72,
2016-07-1,100.44,
2016-08-1,100.73,
2016-09-1,101.42,
2016-10-1,101.62,
2016-11-1,101.38,
2016-12-1,101.40,
2017-01-1,102.52,
2017-02-1,102.73,
2017-03-1,102.54,
2017-04-1,102.28,
2017-05-1,102.35,
2017-06-1,102.16,
2017-07-1,102.26,
2017-08-1,102.76,
2017-09-1,102.99,
2017-10-1,103.09,
2017-11-1,102.23,
2017-12-1,102.64,
2018-01-1,103.03,
2018-02-1,103.77,
2018-03-1,103.57,
2018-04-1,103.67,
2018-05-1,103.75,
2018-06-1,103.60,
2018-07-1,103.36,
2018-08-1,104.36,
2018-09-1,105.21,
2018-10-1,105.10,
2018-11-1,104.29,
2018-12-1,103.82,
2019-01-1,103.71,
2019-02-1,104.09,
2019-03-1,103.77,
2019-04-1,104.14,
2019-05-1,104.27,
2019-06-1,104.09,
2019-07-1,103.75,
2019-08-1,103.79,
2019-09-1,104.29,
2019-10-1,104.51,
2019-11-1,103.92,
2019-12-1,104.22,
2020-01-1,104.95,
2020-02-1,105.05,
2020-03-1,104.74,
2020-04-1,104.27,
2020-05-1,104.00,
2020-06-1,104.14,
2020-07-1,104.05,
2020-08-1,104.72,
2020-09-1,105.42,
2020-10-1,104.94,
2020-11-1,104.83,
2020-12-1,105.17,
