date,consumer_price,house_loan,building_space,interest_idx,housing_price
2008-01-1,83.030,21999.7,2450110,5.81,69.1
2008-02-1,83.655,22193.3,1564646,5.28,69.1
2008-03-1,84.514,22273.6,2308361,5.25,69.1
2008-04-1,85.060,22473.2,4426592,5.38,69.3
2008-05-1,85.764,22581.6,2764751,5.36,69.5
2008-06-1,86.623,22767.2,2328210,5.36,70.0
2008-07-1,87.092,22847.3,3706873,5.52,70.1
2008-08-1,86.935,23095.2,2765946,5.77,70.4
2008-09-1,86.779,23161.8,2274792,5.79,70.4
2008-10-1,86.701,23289.7,2587747,6.03,70.3
2008-11-1,86.310,23331.6,3469658,5.62,70.3
2008-12-1,86.154,23534.3,7814324,4.68,70.0
2009-01-1,86.310,22749.6,904537,3.22,69.8
2009-02-1,87.092,22792.9,1174718,2.70,70.2
2009-03-1,88.028,22789.1,1772973,2.45,70.2
2009-04-1,88.263,22701.2,1806060,2.42,70.6
2009-05-1,88.185,22731.4,1763833,2.41,70.6
2009-06-1,88.107,22851.9,3287041,2.41,70.8
2009-07-1,88.497,22830.8,2303239,2.41,70.8
2009-08-1,88.732,22963.2,3154749,2.48,71.0
2009-09-1,88.810,22989.1,4872123,2.64,71.2
2009-10-1,88.653,23120.4,2400028,2.79,71.7
2009-11-1,88.810,23382.9,3766780,2.79,71.9
2009-12-1,89.201,23754.3,14711344.1,2.82,71.9
2010-01-1,90.026,23668.4,1450384,2.88,71.9
2010-02-1,90.208,23749.9,1758272,2.88,72.4
2010-03-1,90.573,23901.2,3176281,2.83,73.4
2010-04-1,90.847,24111.8,3964877,2.51,73.7
2010-05-1,90.938,24404.0,5002321,2.45,74.3
2010-06-1,90.756,24593.4,3094576,2.45,75.6
2010-07-1,91.121,24663.3,2727988,2.58,76.8
2010-08-1,91.577,24958.2,2097611,2.63,77.1
2010-09-1,92.033,25077.8,2476765,2.66,77.6
2010-10-1,92.215,25350.7,2750731,2.66,78.0
2010-11-1,91.850,25745.8,6687698,2.73,79.2
2010-12-1,92.215,26163.1,16276236,2.80,80.0
2011-01-1,93.218,26133.4,3516173,2.93,81.0
2011-02-1,93.857,26307.9,2368383,3.13,82.5
2011-03-1,94.404,26468.6,3526572,3.35,85.4
2011-04-1,94.495,26785.0,5247208,3.40,91.2
2011-05-1,94.587,27254.3,4133207,3.46,91.0
2011-06-1,94.769,27779.6,3853649,3.53,92.5
2011-07-1,95.316,28056.5,4020599,3.59,92.9
2011-08-1,95.955,28541.5,6326208,3.59,94.1
2011-09-1,95.864,28734.1,5643380,3.58,96.0
2011-10-1,95.772,29231.4,5462021,3.58,97.0
2011-11-1,95.955,29649.3,3654836,3.56,97.7
2011-12-1,96.228,30166.6,8804754,3.55,98.0
2012-01-1,96.219,30034.4,3552949,3.55,97.8
2012-02-1,96.557,30160.2,3401704,3.53,97.9
2012-03-1,96.748,30281.3,4283486,3.54,97.9
2012-04-1,96.785,30622.1,4751129,3.54,97.8
2012-05-1,96.967,30927.7,4961001,3.54,98.5
2012-06-1,96.748,31295.7,4680642,3.54,98.6
2012-07-1,96.356,31562.6,4472888,3.34,98.3
2012-08-1,96.776,31885.3,3963046,3.19,97.9
2012-09-1,97.551,32160.8,5290110,3.14,98.0
2012-10-1,97.414,32562.1,4601583,2.93,97.8
2012-11-1,97.058,32955.6,4104397,2.85,97.5
2012-12-1,97.131,33859.7,11192992,2.88,97.2
2013-01-1,97.752,33784.1,2945686,2.86,97.0
2013-02-1,98.135,33610.0,2404310,2.83,96.8
2013-03-1,98.080,33797.2,3926408,2.81,96.8
2013-04-1,97.834,34072.0,3521984,2.80,97.8
2013-05-1,97.797,34350.1,3685630,2.72,98.4
2013-06-1,97.743,35065.9,3767757,2.69,98.6
2013-07-1,98.034,35269.6,4715541,2.68,98.8
2013-08-1,98.427,35700.3,3621269,2.66,98.8
2013-09-1,98.655,36038.4,3915858,2.66,98.9
2013-10-1,98.308,36552.1,3928986,2.66,99.2
2013-11-1,98.262,37047.9,6972515,2.65,99.9
2013-12-1,98.390,37769.4,6831807,2.65,99.8
2014-01-1,99.156,37757.4,2615653,2.65,99.9
2014-02-1,99.339,37931.6,7070212,2.65,100.2
2014-03-1,99.485,38109.6,4403977,2.65,100.5
2014-04-1,99.539,38588.7,5017842,2.65,100.7
2014-05-1,99.658,39023.2,4995748,2.65,101.0
2014-06-1,99.503,39585.8,5540901,2.65,101.3
2014-07-1,99.685,40109.7,5253200,2.65,101.9
2014-08-1,99.822,40537.8,6067172,2.52,102.6
2014-09-1,99.722,41000.3,4789876,2.35,102.9
2014-10-1,99.339,41530.3,5164423,2.21,103.1
2014-11-1,99.129,42187.6,4076561,2.14,103.4
2014-12-1,99.047,42772.4,5939491,2.13,103.7
2015-01-1,99.94,42767.6,3482658,2.13,103.7
2015-02-1,99.87,42820.6,4388918,2.12,103.9
2015-03-1,99.89,43084.7,6189392,1.95,104.4
2015-04-1,99.80,43550.3,6009986,1.81,104.8
2015-05-1,100.01,43952.4,6392792,1.80,104.9
2015-06-1,100.07,43909.8,6675859,1.70,105.2
2015-07-1,100.07,44214.5,12304982,1.65,105.5
2015-08-1,100.32,44740.6,8276454,1.64,105.6
2015-09-1,100.05,45148.4,9303357,1.60,105.8
2015-10-1,100.00,45655.2,7816784,1.58,105.9
2015-11-1,99.90,46253.6,6514316,1.59,106.0
2015-12-1,100.09,47239.7,8164539,1.67,106.0
2016-01-1,100.34,47473.2,5190141,1.67,106.0
2016-02-1,100.84,47609.8,6008538,1.64,105.9
2016-03-1,100.64,47864.6,7298340,1.63,105.9
2016-04-1,100.77,48441.7,7413836,1.61,105.6
2016-05-1,100.82,49095.6,6155742,1.58,105.3
2016-06-1,100.72,49822.3,7978843,1.43,105.2
2016-07-1,100.44,50291.5,7073180,1.36,105.0
2016-08-1,100.73,51007.7,6241777,1.35,104.8
2016-09-1,101.42,51605.9,5074992,1.34,104.6
2016-10-1,101.62,52266.6,6391882,1.35,104.6
2016-11-1,101.38,53001.1,6705028,1.42,104.5
2016-12-1,101.40,53524.7,6888164,1.54,104.5
2017-01-1,102.52,53681.5,4748526,1.50,104.4
2017-02-1,102.73,53961.3,5527846,1.49,104.4
2017-03-1,102.54,54332.9,5437407,1.48,104.3
2017-04-1,102.28,54486.5,4788919,1.43,104.1
2017-05-1,102.35,54790.1,6892649,1.39,103.9
2017-06-1,102.16,55230.5,7178232,1.38,103.8
2017-07-1,102.26,55381.8,5428766,1.39,103.5
2017-08-1,102.76,55477.2,5198270,1.39,102.5
2017-09-1,102.99,55652.6,6614051,1.38,101.4
2017-10-1,103.09,56051.9,6441970,1.38,100.7
2017-11-1,102.23,56305.1,5155183,1.45,100.0
2017-12-1,102.64,56504.5,6842949,1.66,99.5
2018-01-1,103.03,56517.9,4448283,1.66,98.9
2018-02-1,103.77,56582.1,4833860,1.65,98.5
2018-03-1,103.57,56737.8,4865006,1.65,98.2
2018-04-1,103.67,56955.2,5033825,1.65,97.9
2018-05-1,103.75,57178.6,4290317,1.65,97.1
2018-06-1,103.60,57534.1,5295291,1.65,96.6
2018-07-1,103.36,57783.0,6975897,1.65,95.7
2018-08-1,104.36,58024.4,4244820,1.65,94.9
2018-09-1,105.21,58098.3,3585511,1.65,94.2
2018-10-1,105.10,58327.7,3516177,1.68,93.5
2018-11-1,104.29,58410.0,5187897,1.71,92.9
2018-12-1,103.82,58831.3,5047837,1.91,91.9
2019-01-1,103.71,58775.6,3552547,1.87,91.6
2019-02-1,104.09,58833.8,4593642,1.87,91.3
2019-03-1,103.77,58691.8,4911563,1.90,91.0
2019-04-1,104.14,58704.8,3900806,1.86,90.8
2019-05-1,104.27,58678.0,3126135,1.84,90.4
2019-06-1,104.09,58665.4,3197949,1.80,90.3
2019-07-1,103.75,58479.1,3190741,1.68,89.6
2019-08-1,103.79,58398.9,3157155,1.49,89.1
2019-09-1,104.29,58305.7,3785213,1.54,88.6
2019-10-1,104.51,58372.3,4597541,1.46,88.4
2019-11-1,103.92,58493.0,3478660,1.52,88.5
2019-12-1,104.22,58561.0,4749904,1.53,89.1
2020-01-1,104.95,58116.2,2732217,1.47,89.6
2020-02-1,105.05,57840.8,3741499,1.42,90.0
2020-03-1,104.74,57790.4,3701165,1.23,90.4
2020-04-1,104.27,57693.0,3550142,1.10,90.3
2020-05-1,104.00,57637.7,3472225,1.02,90.1
2020-06-1,104.14,57313.4,3511037,0.79,90.7
2020-07-1,104.05,57360.4,4768495,0.79,92.5
2020-08-1,104.72,57630.7,3299859,0.68,93.3
2020-09-1,105.42,57905.1,4147499,0.63,93.7
2020-10-1,104.94,58229.9,4504672,0.63,93.9
2020-11-1,104.83,58718.0,3507700,0.66,95.9
2020-12-1,105.17,59269.2,5125668,0.66,100.1
