date,consumer_price,house_loan,building_space,interest_idx,housing_price
2008-01-01,83.295,107433.5,2450110,5.81,86.2
2008-02-01,83.530,106294.4,1564646,5.28,86.9
2008-03-01,84.076,106393.8,2308361,5.25,88.7
2008-04-01,84.466,107235.2,4426592,5.38,90.7
2008-05-01,85.013,107892.2,2764751,5.36,92.1
2008-06-01,85.403,108322.4,2328210,5.36,93.7
2008-07-01,85.949,109336.9,3706873,5.52,94.6
2008-08-01,85.872,109710.9,2765946,5.77,95.0
2008-09-01,86.106,110055.4,2274792,5.79,95.4
2008-10-01,86.184,110207.2,2587747,6.03,95.4
2008-11-01,86.028,110702.3,3469658,5.62,94.8
2008-12-01,86.184,111182.1,7814324,4.68,93.5
2009-01-01,86.418,112031.2,904537,3.22,92.8
2009-02-01,86.808,112388.7,1174718,2.70,92.7
2009-03-01,87.355,113018.5,1772973,2.45,92.6
2009-04-01,87.589,113246.2,1806060,2.42,92.8
2009-05-01,87.589,114235.4,1763833,2.41,92.9
2009-06-01,87.589,115443.3,3287041,2.41,93.2
2009-07-01,87.901,116903.6,2303239,2.41,93.9
2009-08-01,88.135,117591.7,3154749,2.48,94.4
2009-09-01,88.214,116951.9,4872123,2.64,95.5
2009-10-01,88.057,117460.4,2400028,2.79,95.9
2009-11-01,88.135,117896.0,3766780,2.79,96.0
2009-12-01,88.447,118429.8,14711344.1,2.82,96.1
2010-01-01,88.974,118215.3,1450384,2.88,96.2
2010-02-01,89.154,118481.4,1758272,2.88,96.4
2010-03-01,89.515,119222.8,3176281,2.83,96.5
2010-04-01,89.875,119864.2,3964877,2.51,96.5
2010-05-01,89.875,120493.6,5002321,2.45,96.2
2010-06-01,89.695,121130.5,3094576,2.45,96.0
2010-07-01,89.965,122113.4,2727988,2.58,95.7
2010-08-01,90.416,121812.7,2097611,2.63,95.3
2010-09-01,91.227,122165.4,2476765,2.66,95.1
2010-10-01,91.227,122853.2,2750731,2.66,95.0
2010-11-01,90.777,123508.1,6687698,2.73,95.0
2010-12-01,91.047,124107.3,16276236,2.80,95.0
2011-01-01,92.039,124710.3,3516173,2.93,95.2
2011-02-01,92.580,125280.3,2368383,3.13,95.4
2011-03-01,92.940,126216.0,3526572,3.35,95.6
2011-04-01,93.030,126822.7,5247208,3.40,95.7
2011-05-01,93.211,126687.8,4133207,3.46,95.9
2011-06-01,93.391,127018.0,3853649,3.53,95.8
2011-07-01,93.842,127536.8,4020599,3.59,95.8
2011-08-01,94.473,127651.6,6326208,3.59,95.9
2011-09-01,94.382,128044.9,5643380,3.58,95.9
